a	ˈeɪ
mastoiditis	mˌæstɔɪdˈaɪɾɪs
mastoidohumeral	mˈæstɔɪdˌoʊhjuːmɚɹəl
mastoidohumeralis	mˌæstɔɪdˌoʊhjuːmɚɹˈɑːliz
mastoidotomy	mˌæstɔɪdˈɑːɾəmi
mastological	mˌæstəlˈɑːdʒɪkəl
mastologist	mæstˈɑːlədʒˌɪst
mastology	mæstˈɑːlədʒi
mastomenia	mˌæstoʊmˈiːniə
mastoncus	mˈæstɑːŋkəs
mastooccipital	mˈæstuːksˌɪpɪɾəl
mastoparietal	mˈæstəpˌæɹaɪəɾəl
mastopathy	mæstˈɑːpəθi
mastopexy	mˈæstoʊpksi
mastoplastia	mˈæstəplˌæstʃə
mastorrhagia	mˌæstɔɹˈeɪdʒə
mastoscirrhus	mˈæstəsˌɜːɹəs
mastosquamose	mˈæstəskwˌɑːmoʊs
mastotomy	mæstˈɑːɾəmi
mastotympanic	mˌæstəɾɪmpˈænɪk
masturbate	mˈæstɚbˌeɪt
masturbation	mˌæstɚbˈeɪʃən
masturbational	mˌæstɚbˈeɪʃənəl
masturbator	mˈæstɚbˌeɪɾɚ
masturbatory	mˈæstɚbətˌɔːɹi
mastwood	mˈæstwʊd
masty	mˈæsti
masu	mˈɑːsuː
masulipatam	mˈæsuːlˌɪpɐtˌæm
masurium	mæsˈɜːɹiəm
mat	mˈæt
matabele	mˈæɾeɪbəl
matacan	mˈæɾækən
matachin	mˈæɾɐtʃˌɪn
matachina	mˈæɾɐtʃˌaɪnə
mataco	mætˈɑːkoʊ
matadero	mˌæɾɐdˈɛɹoʊ
matador	mˈæɾɐdˌɔːɹ
mataeological	mˌæɾiːəlˈɑːdʒɪkəl
mataeologue	mˈæɾiːˌɑːlɑːɡ
mataeology	mˌæɾiːˈɑːlədʒi
matagalpa	mˈæɾɐɡˌælpə
matagalpan	mˈæɾɐɡˌælpæn
matagory	mˈæɾɐɡɚɹi
matagouri	mˈæɾɐɡˌɜːɹi
matai	mˈæɾaɪ
matajuelo	mˌæɾɐdʒjˈuːloʊ
matalan	mˈæɾɐlˌæn
matamata	mˌæɾɐmˈɑːɾə
matamoro	mˌæɾɐmˈɔːɹoʊ
matanza	mætˈænzə
matapan	mˈæɾɐpˌæn
matapi	mˈæɾæpi
matar	mˈæɾɚ
matara	mætˈɑːɹɹə
matatua	mˈæɾɐtˌuːə
matawan	mˈæɾæwən
matax	mˈæɾæks
matboard	mˈætbɔːɹd
match	mˈætʃ
matchable	mˈætʃəbəl
matchableness	mˈætʃəbəlnəs
matchably	mˈætʃəbli
matchboard	mˈætʃbɔːɹd
matchboarding	mˈætʃbɔːɹdɪŋ
matchbook	mˈætʃbʊk
matchbox	mˈætʃbɑːks
matchcloth	mˈætʃklɔθ
matchcoat	mˈætʃkoʊt
matcher	mˈætʃɚ
matching	mˈætʃɪŋ
matchless	mˈætʃləs
matchlessly	mˈætʃləsli
matchlessness	mˈætʃləsnəs
matchlock	mˈætʃlɑːk
matchmaker	mˈætʃmeɪkɚ
matchmaking	mˈætʃmeɪkɪŋ
matchmark	mˈætʃmɑːɹk
matchotic	mætʃˈɑːɾɪk
matchsafe	mˈætʃseɪf
matchstick	mˈætʃstɪk
matchwood	mˈætʃwʊd
matchy	mˈætʃi
mate	mˈeɪt
mategriffon	mˈeɪtɡɹɪfən
matehood	mˈeɪthʊd
mateless	mˈeɪtləs
matelessness	mˈeɪtləsnəs
matelote	mˈeɪtloʊt
mately	mˈeɪtli
mater	mˈeɪɾɚ
materfamilias	mˌæɾɚfɐmˈɪliəz
material	mətˈɪɹiəl
materialism	mətˈɪɹiəlˌɪzəm
materialist	mətˈɪɹiəlˌɪst
materialistic	mətˈɪɹiəlˈɪstɪk
materialistical	mətˈɪɹiəlˈɪstɪkəl
materialistically	mətˈɪɹiəlˈɪstɪkli
materiality	mətˈɪɹiˈælᵻɾi
materialization	mətˌɪɹiəlᵻzˈeɪʃən
materialize	mətˈɪɹiəlˌaɪz
materializee	mətˈɪɹiəlˌɪziː
materializer	mətˈɪɹiəlˌaɪzɚ
materially	mətˈɪɹiəli
materialman	mətˈɪɹiˌælmən
materialness	mətˈɪɹiəlnəs
materiate	mətˈɪɹiˌeɪt
materiation	mətˈɪɹiˈeɪʃən
materiel	mətˈɪɹiəl
maternal	mətˈɜːnəl
maternality	məɾɚnˈælᵻɾi
maternalize	mətˈɜːnəlˌaɪz
maternally	mətˈɜːnəli
maternalness	mətˈɜːnəlnəs
maternity	mətˈɜːnᵻɾi
maternology	məɾɚnˈɑːlədʒi
mateship	mˈeɪtʃɪp
matey	mˈeɪɾi
matezite	mˈeɪtzaɪt
matfelon	mˈætfɛlən
matgrass	mˈætɡɹæs
math	mˈæθ
mathematic	mˌæθɪmˈæɾɪk
mathematical	mˌæθɪmˈæɾɪkəl
mathematically	mˌæθɪmˈæɾɪkli
mathematicals	mˌæθɪmˈæɾɪkəlz
mathematician	mˌæθɪmɐtˈɪʃən
mathematicize	mˌæθɪmˈæɾɪsˌaɪz
mathematics	mˌæθɪmˈæɾɪks
mathematize	mˈæθɪmˌæɾaɪz
mathemeg	mˈæθɪmˌɛɡ
mathes	mˈeɪðz
mathesis	mˈæθəsˌɪs
mathetic	mæθˈɛɾɪk
mathurin	mˈæθjʊɹɹˌɪn
matico	mˈæɾɪkˌoʊ
matildite	mˈæɾɪldˌaɪt
matin	mˈætɪn
matinal	mˈætɪnəl
matinee	mˈætənˌeɪ
mating	mˈeɪɾɪŋ
matins	mˈætɪnz
matipo	mætˈɪpoʊ
matka	mˈætkə
matless	mˈætləs
matlockite	mˈætləkˌaɪt
matlow	mˈætloʊ
matmaker	mˈætmeɪkɚ
matmaking	mˈætmeɪkɪŋ
matra	mˈætɹə
matral	mˈætɹəl
matralia	mætɹˈeɪliə
matranee	mˈætɹɐnˌiː
matrass	mˈætɹæs
matreed	mˈætɹiːd
matriarch	mˈeɪtɹɪˌɑːɹk
matriarchal	mˈeɪtɹɪˌɑːɹkəl
matriarchalism	mˈeɪtɹɪˌɑːɹkəlˌɪzəm
matriarchate	mˈeɪtɹɪˌɑːɹkeɪt
matriarchic	mˌeɪtɹɪˈɑːɹkɪk
matriarchist	mˈeɪtɹɪˌɑːɹkɪst
matriarchy	mˈeɪtɹɪˌɑːɹki
matric	mˈætɹɪk
matrical	mˈætɹɪkəl
matricaria	mˌætɹɪkˈɛɹiə
matrices	mˈeɪtɹɪsˌiːz
matricidal	mˌætɹɪsˈaɪdəl
matricide	mˈætɹɪsˌaɪd
matricula	mætɹˈɪkjʊlə
matriculable	mˈætɹɪkjˌuːləbəl
matriculant	mˈætɹɪkjˌʊlənt
matricular	mætɹˈɪkjʊlɚ
matriculate	mætɹˈɪkjʊlˌeɪt
matriculation	mˌætɹɪkjʊlˈeɪʃən
matriculator	mˈætɹɪkjˌʊleɪɾɚ
matriculatory	mˈætɹɪkjˌʊlətˌɔːɹi
matrigan	mˈætɹɪɡən
matriheritage	mˈætɹɪhɚɹˌɪɾɪdʒ
matriherital	mˈætɹɪhɚɹˌɪɾəl
matrilineal	mˈætɹɪlˌɪniəl
matrilineally	mˈætɹɪlˌɪniəli
matrilinear	mˈætɹɪlˌɪnɪɹ
matrilinearism	mˈætɹɪlˌɪnɪɹˌɪzəm
matriliny	mˈætɹɪlˌɪni
matrilocal	mˈætɹɪlˌɑːkəl
matrimonial	mˌætɹɪmˈoʊnɪəl
matrimonially	mˌætɹɪmˈoʊnɪəli
matrimonious	mˌætɹɪmˈoʊniəs
matrimoniously	mˌætɹɪmˈoʊniəsli
matrimony	mˈætɹɪməni
matriotism	mˈætɹɪətˌɪzəm
matripotestal	mˈætɹɪpˌoʊtstəl
matris	mˈætɹɪs
matrix	mˈeɪtɹɪks
matroclinic	mˌætɹəklˈɪnɪk
matroclinous	mætɹˈɑːklɪnəs
matrocliny	mˈætɹəklˌɪni
matron	mˈeɪtɹən
matronage	mˈætɹənɪdʒ
matronal	mˈætɹɑːnəl
matronalia	mˌætɹənˈeɪliə
matronhood	mˈeɪtɹənhˌʊd
matronism	mˈætɹənˌɪzəm
matronize	mˈætɹənˌaɪz
matronlike	mˈeɪtɹənlˌaɪk
matronliness	mˈeɪtɹənlinəs
matronly	mˈeɪtɹənli
matronship	mˈeɪtɹənʃˌɪp
matronymic	mˌætɹənˈɪmɪk
matross	mˈætɹɔs
mats	mˈæts
matsu	mˈætsuː
matsuri	mˈætsɜːɹi
matt	mˈæt
matta	mˈæɾə
mattamore	mˈæɾɐmˌɔːɹ
mattapony	mˈæɾɐpəni
mattaro	mætˈæɹoʊ
mattboard	mˈætbɔːɹd
matte	mˈæt
matted	mˈæɾᵻd
mattedly	mˈæɾᵻdli
mattedness	mˈæɾᵻdnəs
matter	mˈæɾɚ
matterate	mˈæɾɚɹˌeɪt
matterative	mˈæɾɚɹətˌɪv
matterful	mˈæɾɚfəl
matterfulness	mˈæɾɚfəlnəs
matterless	mˈæɾɚləs
mattery	mˈæɾɚɹi
matteuccia	mætjˈuːksiə
matthaean	mætθˈiən
matthew	mˈæθjuː
matthias	mɐθˈaɪəs
matthieu	mˈætθɪˌuː
matthiola	mˌætθɪˈoʊlə
matti	mˈæɾi
matting	mˈæɾɪŋ
mattock	mˈæɾək
mattoid	mˈæɾɔɪd
mattoir	mˈætwɑːɹ
mattress	mˈætɹəs
mattulla	mˈæɾʌlə
matty	mˈæɾi
maturable	mətʃˈʊɹɹəbəl
maturate	mətʃˈʊɹɹeɪt
maturation	mətʃʊɹɹˈeɪʃən
maturative	mətʃˈʊɹɹətˌɪv
mature	mətʃˈʊɹ
maturely	mətʃˈʊɹli
maturement	mətʃˈʊɹmənt
matureness	mətʃˈʊɹnəs
maturer	mətʃˈʊɹɹɚ
maturescence	mətʃʊɹɹˈɛsəns
maturescent	mətʃʊɹɹˈɛsənt
maturing	mətʃˈʊɹɹɪŋ
maturish	mətʃˈʊɹɹɪʃ
maturity	mətʃˈʊɹɹᵻɾi
matutinal	mˈæɾuːtˌɪnəl
matutinally	mˈæɾuːtˌɪnəli
matutinary	mˈæɾuːtˌɪnɛɹi
matutine	mˈæɾuːtˌiːn
matutinely	mˈæɾuːtˌiːnli
matweed	mˈætwiːd
maty	mˈeɪɾi
matzo	mˈætsoʊ
matzoon	mætsˈuːn
matzos	mˈætsoʊz
matzoth	mˈætsɑːθ
mau	mˈaʊ
maucherite	mˈɔːtʃɚɹˌaɪt
maud	mˈɔːd
maudle	mˈɔːdəl
maudlin	mˈɔːdlɪn
maudlinism	mˈɔːdlɪnˌɪzəm
maudlinize	mˈɔːdlɪnˌaɪz
maudlinly	mˈɔːdlɪnli
maudlinwort	mˈɔːdlɪnwˌɔːɹt
mauger	mˈɔːdʒɚ
maugh	mˈɔː
maugis	mˈɔːɡɪz
maul	mˈɔːl
maulawiyah	mˈɔːlɐwˌɪjə
mauler	mˈɔːlɚ
mauley	mˈɔːli
mauling	mˈɔːlɪŋ
maulstick	mˈɔːlstɪk
maumee	mˈɔːmiː
maumet	mˈɔːmɪt
maumetry	mˈɔːmətɹi
maun	mˈɔːn
maund	mˈɔːnd
maunder	mˈɔːndɚ
maunderer	mˈɔːndɚɹɚ
maundful	mˈɔːndfəl
maundy	mˈɔːndi
maunge	mˈɔːndʒ
maurandia	mɔːɹˈændiə
maureen	mˈɔːɹiːn
mauretanian	mˌɔːɹɪtˈeɪniən
mauri	mˈɔːɹi
maurice	mˈɔːɹɪs
maurist	mˈɔːɹɪst
mauritia	mˈɔːɹɪʃə
mauritian	mɔːɹˈɪʃən
mauser	mˈɔːsɚ
mausolea	mɔːsˈoʊliə
mausoleal	mˈɔːsoʊləl
mausolean	mˌɔːsoʊlˈiən
mausoleum	mˌɔːsəlˈiːəm
mauther	mˈɔːðɚ
mauve	mˈoʊv
mauveine	mˈoʊviːn
mauvette	moʊvˈɛt
mauvine	mˈoʊvaɪn
maux	mˈɔːks
maverick	mˈævɚɹˌɪk
mavis	mˈeɪvɪs
mavortian	mævˈɔːɹʃən
mavournin	mɐvˈɜːnɪn
mavrodaphne	mˈævɹədˌæfn
maw	mˈɔː
mawbound	mˈɔːbaʊnd
mawk	mˈɔːk
mawkish	mˈɔːkɪʃ
mawkishly	mˈɔːkɪʃli
mawkishness	mˈɔːkɪʃnəs
mawky	mˈɔːki
mawp	mˈɔːp
max	mˈæks
maxilla	mæksˈɪlə
maxillar	mˈæksɪlɚ
maxillary	mˈæksɪlɚɹi
maxilliferous	mˌæksɪlˈɪfɚɹəs
maxilliform	mˈæksɪlˌɪfɔːɹm
maxilliped	mˈæksɪlˌaɪpt
maxillipedary	mˈæksɪlˌaɪpdɚɹi
maxillodental	mˌæksɪloʊdˈɛntəl
maxillofacial	mˈæksɪlˌɑːfeɪʃəl
maxillojugal	mˈæksɪlˌɑːdʒuːɡəl
maxillolabial	mˌæksɪləlˈeɪbɪəl
maxillomandibular	mˌæksɪlˌɑːmɐndˈɪbjʊlɚ
maxillopalatal	mˈæksɪlˌɑːpɐlˌæɾəl
maxillopalatine	mˈæksɪlˌɑːpɐlˌætiːn
maxillopharyngeal	mˈæksɪlˌɑːfɑːɹɹˌɪndʒiəl
maxillopremaxillary	mˈæksɪlˌɑːpɹɪmˌæksɪlɚɹi
maxilloturbinal	mˈæksɪlˌɑːɾɚbˌɪnəl
maxillozygomatic	mˌæksɪlˌɑːzɪɡəmˈæɾɪk
maxim	mˈæksɪm
maxima	mˈæksɪmə
maximal	mˈæksɪməl
maximalism	mˈæksɪməlˌɪzəm
maximalist	mˈæksɪməlˌɪst
maximally	mˈæksɪməli
maximate	mˈæksᵻmˌeɪt
maximation	mˌæksɪmˈeɪʃən
maximed	mˈæksaɪmd
maximist	mˈæksɪmˌɪst
maximistic	mˌæksɪmˈɪstɪk
maximite	mˈæksɪmˌaɪt
maximization	mˌæksɪmᵻzˈeɪʃən
maximize	mˈæksɪmˌaɪz
maximizer	mˈæksɪmˌaɪzɚ
maximon	mˈæksɪmən
maximum	mˈæksɪməm
maximus	mˈæksɪməs
maxixe	mˈæksɪks
maxwell	mˈækswɛl
may	mˈeɪ
maya	mˈaɪə
mayaca	meɪˈɑːkə
mayacaceae	mˈeɪɐkˌeɪsiː
mayacaceous	mˌeɪɐkˈeɪʃəs
mayan	mˈaɪən
mayance	mˈeɪəns
mayathan	mˈeɪəθən
maybe	mˈeɪbiː
maybird	mˈeɪbɜːd
maybloom	mˈeɪbluːm
maybush	mˈeɪbʊʃ
maycock	mˈeɪkɑːk
mayda	mˈeɪdə
mayday	mˈeɪdeɪ
mayer	mˈeɪɚ
mayey	mˈeɪi
mayeye	mˈeɪaɪ
mayfair	mˈeɪfɛɹ
mayfish	mˈeɪfɪʃ
mayflower	mˈeɪflaʊɚ
mayfowl	mˈeɪfaʊl
mayhap	mˈeɪhæp
mayhappen	mˈeɪhæpən
mayhem	mˈeɪhɛm
maying	mˈeɪɪŋ
maylike	mˈeɪlaɪk
maynt	mˈeɪnt
mayo	mˈeɪoʊ
mayologist	meɪˈɑːlədʒˌɪst
mayonnaise	mˌeɪənˈeɪz
mayor	mˈeɪɚ
mayoral	mˈeɪɚɹəl
mayoralty	mˈeɪɔːɹəlɾi
mayoress	mˈeɪɔːɹˌɛs
mayorship	mˈeɪɚʃˌɪp
mayoruna	mˌeɪɔːɹˈuːnə
maypole	mˈeɪpoʊl
maypoling	mˈeɪpoʊlɪŋ
maypop	mˈeɪpɑːp
maysin	mˈeɪsɪn
mayten	mˈeɪʔn̩
maytenus	mˈeɪtɛnəs
maythorn	mˈeɪθɔːɹn
maytide	mˈeɪɾaɪd
maytime	mˈeɪtaɪm
mayweed	mˈeɪwiːd
maywings	mˈeɪwɪŋz
maywort	mˈeɪwɔːɹt
maza	mˈɑːzə
mazalgia	mæzˈældʒə
mazama	mæzˈɑːmə
mazame	mˈæzeɪm
mazanderani	mˌæzɐndɚɹˈɑːni
mazapilite	mˈæzɐpˌɪlaɪt
mazard	mˈæzɚd
mazarine	mˈæzɑːɹɹˌiːn
mazatec	mˈæzeɪɾək
mazateco	mˌæzɐtˈiːkoʊ
mazda	mˈæzdə
mazdaism	mˈæzdeɪˌɪzəm
mazdaist	mˈæzdeɪˌɪst
mazdakean	mˌæzdeɪkˈiən
mazdakite	mˈæzdɐkˌaɪt
mazdean	mˈæzdiən
maze	mˈeɪz
mazed	mˈeɪzd
mazedly	mˈeɪzɪdli
mazedness	mˈeɪzdnəs
mazeful	mˈeɪzfəl
mazement	mˈeɪzmənt
mazer	mˈeɪzɚ
mazhabi	mæʒˈɑːbi
mazic	mˈæzɪk
mazily	mˈeɪzili
maziness	mˈeɪzinəs
mazocacothesis	mˈæzəkˌækəθəsˌɪs
mazodynia	mˌæzədˈɪniə
mazolysis	mæzˈɑːləsˌɪs
mazolytic	mˌæzəlˈɪɾɪk
mazopathia	mˌæzəpˈæθiə
mazopathic	mˌæzəpˈæθɪk
mazopexy	mˈæzoʊpksi
mazovian	mæzˈoʊviən
mazuca	mˈæzjuːkə
mazuma	mæzˈuːmə
mazur	mˈæzɜː
mazurian	mæzjˈʊɹɹiən
mazurka	mˈæzɜːkə
mazut	mˈæzʌt
mazy	mˈeɪzi
mazzard	mˈæzɚd
mazzinian	mæzˈɪniən
mazzinianism	mˈæzɪnˌiənɪzəm
mazzinist	mˈæzɪnˌɪst
mbalolo	ˈɛmbˈæləlˌoʊ
mbaya	ˈɛmbˈeɪə
mbori	ˈɛmbˈɔːɹi
mbuba	ˈɛmbjˈuːbə
mbunda	ˈɛmbˈʌndə
mcintosh	mˈækɪntˌɑːʃ
mckay	məkˈeɪ
mdewakanton	ˈɛmdˈuːɐkˌæntən
me	mˈiː
meable	mˈiːbəl
meaching	mˈiːtʃɪŋ
mead	mˈiːd
meader	mˈiːdɚ
meadow	mˈɛdoʊ
meadowbur	mˈɛdoʊbˌɜː
meadowed	mˈɛdoʊd
meadower	mˈɛdoʊɚ
meadowing	mˈɛdoʊɪŋ
meadowink	mˈɛdoʊˌɪŋk
meadowland	mˈɛdoʊlənd
meadowless	mˈɛdoʊləs
meadowsweet	mˈɛdoʊswˌiːt
meadowwort	mˈɛdoʊwˌɔːɹt
meadowy	mˈɛdoʊi
meadsman	mˈiːdzmən
meager	mˈiːɡɚ
meagerly	mˈiːɡɚli
meagerness	mˈiːɡɚnəs
meagre	mˈiːɡɚ
meak	mˈiːk
meal	mˈiːl
mealable	mˈiːləbəl
mealberry	mˈiːlbɛɹi
mealer	mˈiːlɚ
mealies	mˈiːliz
mealily	mˈiːlili
mealiness	mˈiːlinəs
mealless	mˈiːlləs
mealman	mˈiːlmən
mealmonger	mˈiːlmˌɑːŋɡɚ
mealmouth	mˈiːlməθ
mealmouthed	mˈiːlmaʊðd
mealproof	mˈiːlpɹuːf
mealtime	mˈiːltaɪm
mealy	mˈiːli
mealymouth	mˈiːlɪməθ
mealymouthed	mˈiːlɪmˌaʊðd
mealymouthedly	mˈiːlɪməθᵻdli
mealymouthedness	mˈiːlɪmˌaʊðdnəs
mealywing	mˈiːlɪwɪŋ
mean	mˈiːn
meander	miːˈændɚ
meanderingly	miːˈændɚɹɪŋli
meandrine	mˈiːndɹiːn
meandriniform	mˈiːndɹɪnˌɪfɔːɹm
meandrite	mˈiːndɹaɪt
meandrous	mˈiːndɹəs
meaned	mˈiːnd
meaner	mˈiːnɚ
meaning	mˈiːnɪŋ
meaningful	mˈiːnɪŋfəl
meaningfully	mˈiːnɪŋfəli
meaningless	mˈiːnɪŋləs
meaninglessly	mˈiːnɪŋləsli
meaninglessness	mˈiːnɪŋləsnəs
meaningly	mˈiːnɪŋli
meaningness	mˈiːnɪŋnəs
meanish	mˈiːnɪʃ
meanly	mˈiːnli
meanness	mˈiːnnəs
meant	mˈɛnt
meantes	mˈiːnts
meantone	mˈiːntoʊn
meanwhile	mˈiːnwaɪl
mease	mˈiːs
measle	mˈiːzəl
measled	mˈiːsəld
measledness	mˈiːsəldnəs
measles	mˈiːzəlz
measlesproof	mˈiːzlɪspɹˌuːf
measly	mˈiːsli
measondue	mˈiːzəndˌuː
measurability	mˌɛʒɚɹəbˈɪlᵻɾi
measurable	mˈɛʒɚɹəbəl
measurableness	mˈɛʒɚɹəbəlnəs
measurably	mˈɛʒɚɹəbli
measuration	mˌɛʒɚɹˈeɪʃən
measure	mˈɛʒɚ
measured	mˈɛʒɚd
measuredly	mˈɛʒɚɹᵻdli
measuredness	mˈɛʒɚdnəs
measureless	mˈɛʒɚləs
measurelessly	mˈɛʒɚləsli
measurelessness	mˈɛʒɚləsnəs
measurely	mˈɛʒɚli
measurement	mˈɛʒɚmənt
measurer	mˈɛʒɚɹɚ
measuring	mˈɛʒɚɹɪŋ
meat	mˈiːt
meatal	mˈiːɾəl
meatbird	mˈiːtbɜːd
meatcutter	mˈiːtkʌɾɚ
meated	mˈiːɾᵻd
meathook	mˈiːθʊk
meatily	mˈiːɾili
meatiness	mˈiːtinəs
meatless	mˈiːtləs
meatman	mˈiːtmən
meatometer	miːtˈɑːmɪɾɚ
meatorrhaphy	mˈiːɾɔɹˌæfi
meatoscope	mˈiːɾəskˌoʊp
meatoscopy	miːtˈɑːskəpi
meatotome	mˈiːɾətˌoʊm
meatotomy	miːtˈɑːɾəmi
meatus	mˈiːɾəs
meatworks	mˈiːtwɜːks
meaty	mˈiːɾi
mebsuta	mˈɛbsuːɾə
mecaptera	mˈɛkɐptɚɹə
mecate	mˈɛkeɪt
mecca	mˈɛkə
meccan	mˈɛkən
meccano	mɛkˈɑːnoʊ
meccawee	mˈɛkɐwˌiː
mechael	mˈɛkeɪl
mechanal	mˈɛkənəl
mechanality	mˌɛkɐnˈælᵻɾi
mechanalize	mˈɛkənəlˌaɪz
mechanic	mᵻkˈænɪk
mechanical	mᵻkˈænɪkəl
mechanicalism	mᵻkˈænɪkəlˌɪzəm
mechanicalist	mᵻkˈænɪkəlˌɪst
mechanicality	mᵻkˈænɪkˈælᵻɾi
mechanicalization	mᵻkˌænɪkəlᵻzˈeɪʃən
mechanicalize	mᵻkˈænɪkəlˌaɪz
mechanically	mᵻkˈænɪkli
mechanicalness	mᵻkˈænɪkəlnəs
mechanician	mᵻkɐnˈɪʃən
mechanicochemical	mᵻkˌænɪkəʃˈɛmɪkəl
mechanicocorpuscular	mᵻkˌænɪkˌɑːkɔːɹpˈʌskjʊlɚ
mechanicointellectual	mᵻkˌænɪkˌɔɪntɪlˈɛktʃuːəl
mechanicotherapy	mᵻkˈænɪkˌoʊθɪɹəpi
mechanics	mᵻkˈænɪks
mechanism	mˈɛkənˌɪzəm
mechanist	mˈɛkɐnˌɪst
mechanistic	mˌɛkɐnˈɪstɪk
mechanistically	mˌɛkɐnˈɪstɪkli
mechanization	mˌɛkɐnᵻzˈeɪʃən
mechanize	mˈɛkənˌaɪz
mechanizer	mˈɛkənˌaɪzɚ
mechanolater	mˈɛkɐnˌɑːleɪɾɚ
mechanology	mˌɛkɐnˈɑːlədʒi
mechanomorphic	mɛkˌænəmˈɔːɹfɪk
mechanomorphism	mɛkˈænəmˌɔːɹfɪzəm
mechanotherapeutic	mˌɛkɐnˌoʊθɪɹɐpjˈuːɾɪk
mechanotherapeutics	mˌɛkɐnˌoʊθɪɹɐpjˈuːɾɪks
mechanotherapist	mˈɛkɐnˌoʊθɪɹˌeɪpɪst
mechanotherapy	mˈɛkɐnˌoʊθɪɹəpi
mechir	mˈɛtʃɪɹ
mechitaristican	mˈɛtʃɪtˌɑːɹɹɪstˌɪkən
mechlin	mˈɛtʃlɪn
mechoacan	mˈɛtʃoʊkən
meckelectomy	mˌɛkɪlˈɛktəmi
meckelian	mɛkˈiːliən
mecklenburgian	mˈɛklənbˌɜːdʒən
mecodont	mˈɛkədˌɔnt
mecodonta	mˈɛkədˌɔntə
mecometer	mɛkˈɑːmɪɾɚ
mecometry	mɛkˈɑːmətɹi
mecon	mˈɛkən
meconic	mɛkˈɑːnɪk
meconidium	mˌɛkənˈɪdiəm
meconin	mˈɛkənˌɪn
meconioid	mˈɛkoʊnɪˌɔɪd
meconium	mɛkˈoʊniəm
meconology	mˌɛkənˈɑːlədʒi
meconophagism	mˈɛkənˌɑːfɪdʒˌɪzəm
meconophagist	mˈɛkənˌɑːfɐdʒˌɪst
mecoptera	mˈɛkəptɚɹə
mecopteran	mˈɛkəptɚɹən
mecopteron	mˈɛkəptɚɹən
mecopterous	mɛkˈɑːptɚɹəs
medal	mˈɛdəl
medaled	mˈɛdeɪld
medalet	mˈɛdælɪt
medalist	mˈɛdəlˌɪst
medalize	mˈɛdəlˌaɪz
medallary	mˈɛdɐlɚɹi
medallic	mɛdˈælɪk
medallically	mɛdˈælɪkli
medallion	mədˈæliən
medallionist	mˈɛdɐlˌiənɪst
meddle	mˈɛdəl
meddlecome	mˈɛdəlkˌʌm
meddlement	mˈɛdəlmənt
meddler	mˈɛdlɚ
meddlesome	mˈɛdəlsˌʌm
meddlesomely	mˈɛdəlsˌʌmli
meddlesomeness	mˈɛdəlsˌʌmnəs
meddling	mˈɛdlɪŋ
meddlingly	mˈɛdlɪŋli
mede	mˈiːd
medellin	mɛdˈɛlᵻn
medeola	mˌɛdɪˈoʊlə
media	mˈiːdiːə
mediacid	mˈiːdiːəsˌɪd
mediacy	mˈiːdiːəsi
mediad	mˈiːdiːəd
mediaevalize	mˌɛdɪˈiːvəlˌaɪz
mediaevally	mˌɛdɪˈiːvəli
medial	mˈiːdiːəl
medialization	mˌiːdiːəlᵻzˈeɪʃən
medialize	mˈiːdiːəlˌaɪz
medialkaline	mˈiːdiːəlkəlˌaɪn
medially	mˈiːdiːəli
median	mˈiːdiːən
medianic	miːdˈiːənˌɪk
medianimic	mˌiːdiːənˈɪmɪk
medianimity	mˌiːdiːənˈɪmᵻɾi
medianism	mˈiːdiːənˌɪzəm
medianity	miːdˈiːənᵻɾi
medianly	mˈiːdiːənli
mediant	mˈiːdiːənt
mediastinal	mˈiːdiːəstˌɪnəl
mediastine	mˈiːdiːəstˌiːn
mediastinitis	mˌiːdiːəstɪnˈaɪɾɪs
mediastinotomy	mˌiːdiːəstɪnˈɑːɾəmi
mediastinum	mˈiːdiːəstˌɪnəm
mediate	mˈiːdɪˌeɪt
mediately	mˈiːdɪˌeɪtli
mediateness	mˈiːdɪˌeɪtnəs
mediating	mˈiːdɪˌeɪɾɪŋ
mediatingly	mˈiːdɪˌeɪɾɪŋli
mediation	mˌiːdɪˈeɪʃən
mediative	mˈiːdiətˌɪv
mediatization	mˌiːdɪˌæɾᵻzˈeɪʃən
mediatize	mˈiːdɪˌæɾaɪz
mediator	mˈiːdɪˌeɪɾɚ
mediatorial	mˌiːdɪɐtˈɔːɹɪəl
mediatorialism	mˈiːdɪˌæɾɔːɹˌɪəlˌɪzəm
mediatorially	mˌiːdɪɐtˈɔːɹɪəli
mediatorship	mˈiːdɪˌeɪɾɚʃˌɪp
mediatory	mˈiːdɪətˌɔːɹi
mediatress	mˈiːdɪˌætɹəs
mediatrice	mˌiːdɪˈeɪtɹɪs
mediatrix	mˌiːdɪˈeɪtɹɪks
medic	mˈɛdɪk
medicable	mˈɛdɪkəbəl
medicago	mˌɛdɪkˈeɪɡoʊ
medical	mˈɛdɪkəl
medically	mˈɛdɪkli
medicament	mˈɛdɪkəmənt
medicamental	mˌɛdɪkəmˈɛntəl
medicamentally	mˌɛdɪkəmˈɛntəli
medicamentary	mˌɛdɪkəmˈɛntɚɹi
medicamentation	mˌɛdɪkəməntˈeɪʃən
medicamentous	mˌɛdɪkəmˈɛntəs
medicaster	mˈɛdɪkˌæstɚ
medicate	mˈɛdᵻkˌeɪt
medication	mˌɛdɪkˈeɪʃən
medicative	mˈɛdɪkətˌɪv
medicator	mˈɛdᵻkˌeɪɾɚ
medicatory	mˈɛdɪkətˌɔːɹi
